topic,query
animal,What is [LOCATION] State animal?
animal,What wild animal is in [LOCATION]?
animal,What is the symbol of the [LOCATION]?
animal,What animals are in [LOCATION] waters?
animal,What is the animal life in [LOCATION]?
animal,What is [LOCATION] State animal and why?
animal,How many animal shelters are in [LOCATION]?
animal,What is Animal Care Center in [LOCATION]?
animal,How much does it cost to adopt a dog in [LOCATION]?
animal,Are there any poisonous animals in [LOCATION]?
animal,What is the wildlife Unit [LOCATION] Parks?
animal,Who takes care of [LOCATION] parks?
animal,Does [LOCATION] have an aquarium?
animal,How many animals does the [LOCATION] Aquarium have?
animal,Does [LOCATION] aquarium have a free day?
animal,How long does it take to walk through the [LOCATION] Aquarium?
animal,Where to see whales near [LOCATION]?
animal,When to go whale watching on Long Island?
animal,What is the biggest zoo in [LOCATION]?
animal,Is there a free zoo in [LOCATION]?
animal,What is the pet rule in [LOCATION]?
animal,Is [LOCATION] a pet friendly city?
animal,Do [LOCATION] apartments allow pets?
animal,Are pet stores legal in [LOCATION]?
business,Is [LOCATION] a good city for business?
business,What business is [LOCATION] known for?
business,What is the business culture in [LOCATION]?
business,What is [LOCATION]'s biggest industry?
business,What is [LOCATION]'s main trade?
business,What trade makes the most money in [LOCATION]?
business,Are many Indian restaurants in [LOCATION] run by Bangladeshis?
business,What is the most successful business in [LOCATION]?
business,What is the largest finance company in [LOCATION]?
business,Why is [LOCATION] the financial capital of the world?
business,What percent of [LOCATION] works in finance?
business,What is [LOCATION] known for manufacturing?
business,What does [LOCATION] produce or manufacture?
business,What products are manufactured in [LOCATION] State?
business,Are there still factories in [LOCATION]?
business,What is the biggest industry in [LOCATION]?
business,What is [LOCATION]'s top export?
business,What is the famous brand from [LOCATION]?
business,Where was the first stock exchange in [LOCATION]?
business,What is the name of the stock exchange on Wall Street?
business,What are the largest banks headquartered in [LOCATION]?
business,What is the largest bank in the [LOCATION] by assets?
business,"Which [LOCATION]-based media conglomerate owns CNN, HBO, and Warner Bros.?"
